[INFO] [04/03/2024 00:47:26.372] [system-akka.actor.default-dispatcher-12] [akka://system/user/Actor56] /!\ Total time for the Process [56] to decide (value [0] ballot [1356]): 147ms
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor4] /!\ [Actor4] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor58] /!\ [Actor58] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor11] /!\ [Actor11] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor59] /!\ [Actor59] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor64] /!\ [Actor64] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor49] /!\ [Actor49] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor71] /!\ [Actor71] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-12] [akka://system/user/Actor72] /!\ [Actor72] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor50] /!\ [Actor50] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-4] [akka://system/user/Actor65] /!\ [Actor65] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-12] [akka://system/user/Actor84] /!\ [Actor84] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor96] /!\ [Actor96] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor23] /!\ [Actor23] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor97] /!\ [Actor97] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-4] [akka://system/user/Actor94] /!\ [Actor94] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor88] /!\ [Actor88] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor2] /!\ [Actor2] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor12] /!\ [Actor12] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor16] /!\ [Actor16] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor22] /!\ [Actor22] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor27] /!\ [Actor27] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor30] /!\ [Actor30] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor32] /!\ [Actor32] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor33] /!\ [Actor33] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-12] [akka://system/user/Actor38] /!\ [Actor38] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor42] /!\ [Actor42] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor39] /!\ [Actor39] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor7] /!\ [Actor7] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor48] /!\ [Actor48] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor90] /!\ [Actor90] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor18] /!\ [Actor18] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-4] [akka://system/user/Actor28] /!\ [Actor28] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor95] /!\ [Actor95] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor35] /!\ [Actor35] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor45] /!\ [Actor45] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor67] /!\ [Actor67] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.373] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor41] /!\ [Actor41] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.374] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor56] /!\ [Actor56] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.374] [system-akka.actor.default-dispatcher-10] [akka://system/user/Actor79] /!\ [Actor79] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.374] [system-akka.actor.default-dispatcher-4] [akka://system/user/Actor63] /!\ [Actor63] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.374] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor98] /!\ [Actor98] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.374] [system-akka.actor.default-dispatcher-12] [akka://system/user/Actor21] /!\ [Actor21] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.375] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor47] /!\ [Actor47] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.378] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor82] /!\ [Actor82] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.379] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor78] /!\ [Actor78] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.380] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor15] /!\ [Actor15] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.436] [system-akka.actor.default-dispatcher-32] [akka://system/user/Actor69] /!\ [Actor69] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.437] [system-akka.actor.default-dispatcher-30] [akka://system/user/Actor93] /!\ [Actor93] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.438] [system-akka.actor.default-dispatcher-32] [akka://system/user/Actor61] /!\ [Actor61] received DECIDE from [Actor56], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor27] /!\ Total time for the Process [27] to decide (value [0] ballot [2727]): 220ms
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-30] [akka://system/user/Actor2] /!\ [Actor2] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor4] /!\ [Actor4] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor11] /!\ [Actor11] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor7] /!\ [Actor7] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor27] /!\ [Actor27] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor12] /!\ [Actor12] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor16] /!\ [Actor16] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor15] /!\ [Actor15] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor18] /!\ [Actor18] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor21] /!\ [Actor21] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor23] /!\ [Actor23] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor28] /!\ [Actor28] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor30] /!\ [Actor30] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor22] /!\ [Actor22] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor33] /!\ [Actor33] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-18] [akka://system/user/Actor32] /!\ [Actor32] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor35] /!\ [Actor35] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor39] /!\ [Actor39] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor38] /!\ [Actor38] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-18] [akka://system/user/Actor42] /!\ [Actor42] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-30] [akka://system/user/Actor47] /!\ [Actor47] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor48] /!\ [Actor48] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor50] /!\ [Actor50] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-18] [akka://system/user/Actor56] /!\ [Actor56] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor58] /!\ [Actor58] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor59] /!\ [Actor59] received DECIDE from [Actor27], proposal [0]
[INFO] [04/03/2024 00:47:26.439] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor61] /!\ [Actor61] received DECIDE from [Actor27], proposal [0]
